No;Kecamatan;Kelurahan;Nomor;Kepala Lingkungan 
636;MEDAN DENAI;TEGAL SARI MANDALA III;XV;MEDAN DENAI-TEGAL SARI MANDALA III-XV
637;MEDAN DELI;KOTA BANGUN;I;MEDAN DELI-KOTA BANGUN-I
638;MEDAN DELI;KOTA BANGUN;II;MEDAN DELI-KOTA BANGUN-II
639;MEDAN DELI;KOTA BANGUN;III;MEDAN DELI-KOTA BANGUN-III
640;MEDAN DELI;KOTA BANGUN;IV;MEDAN DELI-KOTA BANGUN-IV
641;MEDAN DELI;KOTA BANGUN;V;MEDAN DELI-KOTA BANGUN-V
642;MEDAN DELI;KOTA BANGUN;VI;MEDAN DELI-KOTA BANGUN-VI
643;MEDAN DELI;KOTA BANGUN;VII;MEDAN DELI-KOTA BANGUN-VII
644;MEDAN DELI;KOTA BANGUN;VIII;MEDAN DELI-KOTA BANGUN-VIII
645;MEDAN DELI;MABAR;I;MEDAN DELI-MABAR-I
646;MEDAN DELI;MABAR;II;MEDAN DELI-MABAR-II
647;MEDAN DELI;MABAR;III;MEDAN DELI-MABAR-III
648;MEDAN DELI;MABAR;IV;MEDAN DELI-MABAR-IV
649;MEDAN DELI;MABAR;V;MEDAN DELI-MABAR-V
650;MEDAN DELI;MABAR;VI;MEDAN DELI-MABAR-VI
651;MEDAN DELI;MABAR;VII;MEDAN DELI-MABAR-VII
652;MEDAN DELI;MABAR;VIII;MEDAN DELI-MABAR-VIII
653;MEDAN DELI;MABAR;IX;MEDAN DELI-MABAR-IX
654;MEDAN DELI;MABAR;X;MEDAN DELI-MABAR-X
655;MEDAN DELI;MABAR;XI;MEDAN DELI-MABAR-XI
656;MEDAN DELI;MABAR;XII;MEDAN DELI-MABAR-XII
657;MEDAN DELI;MABAR;XIII;MEDAN DELI-MABAR-XIII
658;MEDAN DELI;MABAR;XIV;MEDAN DELI-MABAR-XIV
659;MEDAN DELI;MABAR;XV;MEDAN DELI-MABAR-XV
660;MEDAN DELI;MABAR;XVI;MEDAN DELI-MABAR-XVI
661;MEDAN DELI;MABAR;XVII;MEDAN DELI-MABAR-XVII
662;MEDAN DELI;MABAR;XVIII;MEDAN DELI-MABAR-XVIII
663;MEDAN DELI;MABAR;XIX;MEDAN DELI-MABAR-XIX
664;MEDAN DELI;MABAR HILIR;I;MEDAN DELI-MABAR HILIR-I
665;MEDAN DELI;MABAR HILIR;II;MEDAN DELI-MABAR HILIR-II
666;MEDAN DELI;MABAR HILIR;III;MEDAN DELI-MABAR HILIR-III
667;MEDAN DELI;MABAR HILIR;IV;MEDAN DELI-MABAR HILIR-IV
668;MEDAN DELI;MABAR HILIR;V;MEDAN DELI-MABAR HILIR-V
669;MEDAN DELI;MABAR HILIR;VI;MEDAN DELI-MABAR HILIR-VI
670;MEDAN DELI;MABAR HILIR;VII;MEDAN DELI-MABAR HILIR-VII
671;MEDAN DELI;MABAR HILIR;VIII;MEDAN DELI-MABAR HILIR-VIII
672;MEDAN DELI;MABAR HILIR;IX;MEDAN DELI-MABAR HILIR-IX
673;MEDAN DELI;MABAR HILIR;X;MEDAN DELI-MABAR HILIR-X
674;MEDAN DELI;MABAR HILIR;XI;MEDAN DELI-MABAR HILIR-XI
675;MEDAN DELI;MABAR HILIR;XII;MEDAN DELI-MABAR HILIR-XII
676;MEDAN DELI;TANJUNG MULIA;I;MEDAN DELI-TANJUNG MULIA-I
677;MEDAN DELI;TANJUNG MULIA;II;MEDAN DELI-TANJUNG MULIA-II
678;MEDAN DELI;TANJUNG MULIA;III;MEDAN DELI-TANJUNG MULIA-III
679;MEDAN DELI;TANJUNG MULIA;IV;MEDAN DELI-TANJUNG MULIA-IV
680;MEDAN DELI;TANJUNG MULIA;V;MEDAN DELI-TANJUNG MULIA-V
681;MEDAN DELI;TANJUNG MULIA;VI;MEDAN DELI-TANJUNG MULIA-VI
682;MEDAN DELI;TANJUNG MULIA;VII;MEDAN DELI-TANJUNG MULIA-VII
683;MEDAN DELI;TANJUNG MULIA;VIII;MEDAN DELI-TANJUNG MULIA-VIII
684;MEDAN DELI;TANJUNG MULIA;IX;MEDAN DELI-TANJUNG MULIA-IX
685;MEDAN DELI;TANJUNG MULIA;X;MEDAN DELI-TANJUNG MULIA-X
686;MEDAN DELI;TANJUNG MULIA;XI;MEDAN DELI-TANJUNG MULIA-XI
687;MEDAN DELI;TANJUNG MULIA;XII;MEDAN DELI-TANJUNG MULIA-XII
688;MEDAN DELI;TANJUNG MULIA;XIII;MEDAN DELI-TANJUNG MULIA-XIII
689;MEDAN DELI;TANJUNG MULIA;XIV;MEDAN DELI-TANJUNG MULIA-XIV
690;MEDAN DELI;TANJUNG MULIA;XV;MEDAN DELI-TANJUNG MULIA-XV
691;MEDAN DELI;TANJUNG MULIA;XVI;MEDAN DELI-TANJUNG MULIA-XVI
692;MEDAN DELI;TANJUNG MULIA;XVII;MEDAN DELI-TANJUNG MULIA-XVII
693;MEDAN DELI;TANJUNG MULIA;XVIII;MEDAN DELI-TANJUNG MULIA-XVIII
694;MEDAN DELI;TANJUNG MULIA;XIX;MEDAN DELI-TANJUNG MULIA-XIX
695;MEDAN DELI;TANJUNG MULIA;XX;MEDAN DELI-TANJUNG MULIA-XX
696;MEDAN DELI;TANJUNG MULIA;XXI;MEDAN DELI-TANJUNG MULIA-XXI
697;MEDAN DELI;TANJUNG MULIA;XXII;MEDAN DELI-TANJUNG MULIA-XXII
698;MEDAN DELI;TANJUNG MULIA;XXIII;MEDAN DELI-TANJUNG MULIA-XXIII
699;MEDAN DELI;TANJUNG MULIA;XXIV;MEDAN DELI-TANJUNG MULIA-XXIV
700;MEDAN DELI;TANJUNG MULIA;XXV;MEDAN DELI-TANJUNG MULIA-XXV
701;MEDAN DELI;TANJUNG MULIA;XXVI;MEDAN DELI-TANJUNG MULIA-XXVI
702;MEDAN DELI;TANJUNG MULIA;XXVII;MEDAN DELI-TANJUNG MULIA-XXVII
703;MEDAN DELI;TANJUNG MULIA;XXVIII;MEDAN DELI-TANJUNG MULIA-XXVIII
704;MEDAN DELI;TANJUNG MULIA HILIR;I;MEDAN DELI-TANJUNG MULIA HILIR-I
705;MEDAN DELI;TANJUNG MULIA HILIR;II;MEDAN DELI-TANJUNG MULIA HILIR-II
706;MEDAN DELI;TANJUNG MULIA HILIR;III;MEDAN DELI-TANJUNG MULIA HILIR-III
707;MEDAN DELI;TANJUNG MULIA HILIR;IV;MEDAN DELI-TANJUNG MULIA HILIR-IV
708;MEDAN DELI;TANJUNG MULIA HILIR;V;MEDAN DELI-TANJUNG MULIA HILIR-V
709;MEDAN DELI;TANJUNG MULIA HILIR;VI;MEDAN DELI-TANJUNG MULIA HILIR-VI
710;MEDAN DELI;TANJUNG MULIA HILIR;VII;MEDAN DELI-TANJUNG MULIA HILIR-VII
711;MEDAN DELI;TANJUNG MULIA HILIR;VIII;MEDAN DELI-TANJUNG MULIA HILIR-VIII
712;MEDAN DELI;TANJUNG MULIA HILIR;IX;MEDAN DELI-TANJUNG MULIA HILIR-IX
713;MEDAN DELI;TANJUNG MULIA HILIR;X;MEDAN DELI-TANJUNG MULIA HILIR- X
714;MEDAN DELI;TANJUNG MULIA HILIR;XI;MEDAN DELI-TANJUNG MULIA HILIR-XI
715;MEDAN DELI;TANJUNG MULIA HILIR;XII;MEDAN DELI-TANJUNG MULIA HILIR-XII
716;MEDAN DELI;TANJUNG MULIA HILIR;XIII;MEDAN DELI-TANJUNG MULIA HILIR-XIII
717;MEDAN DELI;TANJUNG MULIA HILIR;XIV;MEDAN DELI-TANJUNG MULIA HILIR-XIV
718;MEDAN DELI;TANJUNG MULIA HILIR;XV;MEDAN DELI-TANJUNG MULIA HILIR-XV
719;MEDAN DELI;TANJUNG MULIA HILIR;XVI;MEDAN DELI-TANJUNG MULIA HILIR-XVI
720;MEDAN DELI;TANJUNG MULIA HILIR;XVII;MEDAN DELI-TANJUNG MULIA HILIR- XVII
721;MEDAN DELI;TANJUNG MULIA HILIR;XVIII;MEDAN DELI-TANJUNG MULIA HILIR-XVIII
722;MEDAN DELI;TANJUNG MULIA HILIR;XIX;MEDAN DELI-TANJUNG MULIA HILIR-XIX
723;MEDAN DELI;TANJUNG MULIA HILIR;XX;MEDAN DELI-TANJUNG MULIA HILIR-XX
724;MEDAN DELI;TANJUNG MULIA HILIR;XXI;MEDAN DELI-TANJUNG MULIA HILIR-XXI
725;MEDAN DELI;TANJUNG MULIA HILIR;XXII;MEDAN DELI-TANJUNG MULIA HILIR-XXII
726;MEDAN DELI;TITI PAPAN;I;MEDAN DELI-TITI PAPAN-I
727;MEDAN DELI;TITI PAPAN;II;MEDAN DELI-TITI PAPAN-II
728;MEDAN DELI;TITI PAPAN;III;MEDAN DELI-TITI PAPAN-III
729;MEDAN DELI;TITI PAPAN;IV;MEDAN DELI-TITI PAPAN-IV
730;MEDAN DELI;TITI PAPAN;V;MEDAN DELI-TITI PAPAN-V
731;MEDAN DELI;TITI PAPAN;VI;MEDAN DELI-TITI PAPAN-VI
732;MEDAN DELI;TITI PAPAN;VII;MEDAN DELI-TITI PAPAN-VII
733;MEDAN DELI;TITI PAPAN;VIII;MEDAN DELI-TITI PAPAN-VIII
734;MEDAN DELI;TITI PAPAN;IX;MEDAN DELI-TITI PAPAN-IX
735;MEDAN DELI;TITI PAPAN;X;MEDAN DELI-TITI PAPAN-X
736;MEDAN DELI;TITI PAPAN;XI;MEDAN DELI-TITI PAPAN-XI
737;MEDAN DELI;TITI PAPAN;XII;MEDAN DELI-TITI PAPAN-XII
738;MEDAN DELI;TITI PAPAN;XIII;MEDAN DELI-TITI PAPAN-XIII
739;MEDAN DELI;TITI PAPAN;XIV;MEDAN DELI-TITI PAPAN-XIV
740;MEDAN DELI;TITI PAPAN;XV;MEDAN DELI-TITI PAPAN-XV
741;MEDAN DELI;TITI PAPAN;XVI;MEDAN DELI-TITI PAPAN-XVI
742;MEDAN HELVETIA;CINTA DAMAI;I;MEDAN HELVETIA-CINTA DAMAI-I
743;MEDAN HELVETIA;CINTA DAMAI;II;MEDAN HELVETIA-CINTA DAMAI-II
744;MEDAN HELVETIA;CINTA DAMAI;III;MEDAN HELVETIA-CINTA DAMAI-III
745;MEDAN HELVETIA;CINTA DAMAI;IV;MEDAN HELVETIA-CINTA DAMAI-IV
746;MEDAN HELVETIA;CINTA DAMAI;V;MEDAN HELVETIA-CINTA DAMAI-V
747;MEDAN HELVETIA;CINTA DAMAI;VI;MEDAN HELVETIA-CINTA DAMAI-VI
748;MEDAN HELVETIA;CINTA DAMAI;VII;MEDAN HELVETIA-CINTA DAMAI-VII
749;MEDAN HELVETIA;CINTA DAMAI;VIII;MEDAN HELVETIA-CINTA DAMAI-VIII
750;MEDAN HELVETIA;DWIKORA;I;MEDAN HELVETIA-DWIKORA-I
751;MEDAN HELVETIA;DWIKORA;II;MEDAN HELVETIA-DWIKORA-II
752;MEDAN HELVETIA;DWIKORA;III;MEDAN HELVETIA-DWIKORA-III
753;MEDAN HELVETIA;DWIKORA;IV;MEDAN HELVETIA-DWIKORA-IV
754;MEDAN HELVETIA;DWIKORA;V;MEDAN HELVETIA-DWIKORA-V
755;MEDAN HELVETIA;DWIKORA;VI;MEDAN HELVETIA-DWIKORA-VI
756;MEDAN HELVETIA;DWIKORA;VII;MEDAN HELVETIA-DWIKORA-VII
757;MEDAN HELVETIA;DWIKORA;VIII;MEDAN HELVETIA-DWIKORA-VIII
758;MEDAN HELVETIA;DWIKORA;IX;MEDAN HELVETIA-DWIKORA-IX
759;MEDAN HELVETIA;DWIKORA;X;MEDAN HELVETIA-DWIKORA-X
760;MEDAN HELVETIA;DWIKORA;XI;MEDAN HELVETIA-DWIKORA-XI
761;MEDAN HELVETIA;DWIKORA;XII;MEDAN HELVETIA-DWIKORA-XII
762;MEDAN HELVETIA;HELVETIA;I;MEDAN HELVETIA-HELVETIA-I
763;MEDAN HELVETIA;HELVETIA;II;MEDAN HELVETIA-HELVETIA-II
764;MEDAN HELVETIA;HELVETIA;III;MEDAN HELVETIA-HELVETIA-III
765;MEDAN HELVETIA;HELVETIA;IV;MEDAN HELVETIA-HELVETIA-IV
766;MEDAN HELVETIA;HELVETIA;V;MEDAN HELVETIA-HELVETIA-V
767;MEDAN HELVETIA;HELVETIA;VI;MEDAN HELVETIA-HELVETIA-VI
768;MEDAN HELVETIA;HELVETIA;VII;MEDAN HELVETIA-HELVETIA-VII
769;MEDAN HELVETIA;HELVETIA;VIII;MEDAN HELVETIA-HELVETIA-VIII
770;MEDAN HELVETIA;HELVETIA;IX;MEDAN HELVETIA-HELVETIA-IX
771;MEDAN HELVETIA;HELVETIA;X;MEDAN HELVETIA-HELVETIA-X
772;MEDAN HELVETIA;HELVETIA;XI;MEDAN HELVETIA-HELVETIA-XI
773;MEDAN HELVETIA;HELVETIA;XII;MEDAN HELVETIA-HELVETIA-XII
774;MEDAN HELVETIA;HELVETIA TENGAH;I;MEDAN HELVETIA-HELVETIA TENGAH-I
775;MEDAN HELVETIA;HELVETIA TENGAH;II;MEDAN HELVETIA-HELVETIA TENGAH-II
776;MEDAN HELVETIA;HELVETIA TENGAH;III;MEDAN HELVETIA-HELVETIA TENGAH-III
777;MEDAN HELVETIA;HELVETIA TENGAH;IV;MEDAN HELVETIA-HELVETIA TENGAH-IV
778;MEDAN HELVETIA;HELVETIA TENGAH;V;MEDAN HELVETIA-HELVETIA TENGAH-V
779;MEDAN HELVETIA;HELVETIA TENGAH;VI;MEDAN HELVETIA-HELVETIA TENGAH-VI
780;MEDAN HELVETIA;HELVETIA TENGAH;VII;MEDAN HELVETIA-HELVETIA TENGAH-VII
781;MEDAN HELVETIA;HELVETIA TENGAH;VIII;MEDAN HELVETIA-HELVETIA TENGAH-VIII
782;MEDAN HELVETIA;HELVETIA TENGAH;IX;MEDAN HELVETIA-HELVETIA TENGAH-IX
783;MEDAN HELVETIA;HELVETIA TENGAH;X;MEDAN HELVETIA-HELVETIA TENGAH-X
784;MEDAN HELVETIA;HELVETIA TENGAH;XI;MEDAN HELVETIA-HELVETIA TENGAH-XI
785;MEDAN HELVETIA;HELVETIA TENGAH;XII;MEDAN HELVETIA-HELVETIA TENGAH-XII
786;MEDAN HELVETIA;HELVETIA TENGAH;XIII;MEDAN HELVETIA-HELVETIA TENGAH-XIII
787;MEDAN HELVETIA;HELVETIA TENGAH;XIV;MEDAN HELVETIA-HELVETIA TENGAH-XIV
788;MEDAN HELVETIA;HELVETIA TENGAH;XV;MEDAN HELVETIA-HELVETIA TENGAH-XV
789;MEDAN HELVETIA;HELVETIA TENGAH;XVI;MEDAN HELVETIA-HELVETIA TENGAH-XVI
790;MEDAN HELVETIA;HELVETIA TENGAH;XVII;MEDAN HELVETIA-HELVETIA TENGAH-XVII
791;MEDAN HELVETIA;HELVETIA TENGAH;XVIII;MEDAN HELVETIA-HELVETIA TENGAH-XVIII
792;MEDAN HELVETIA;HELVETIA TENGAH;XIX;MEDAN HELVETIA-HELVETIA TENGAH-XIX
793;MEDAN HELVETIA;HELVETIA TENGAH;XX;MEDAN HELVETIA-HELVETIA TENGAH-XX
794;MEDAN HELVETIA;HELVETIA TENGAH;XXI;MEDAN HELVETIA-HELVETIA TENGAH-XXI
795;MEDAN HELVETIA;HELVETIA TENGAH;XXII;MEDAN HELVETIA-HELVETIA TENGAH-XXII
796;MEDAN HELVETIA;HELVETIA TIMUR;I;MEDAN HELVETIA-HELVETIA TIMUR-I
797;MEDAN HELVETIA;HELVETIA TIMUR;II;MEDAN HELVETIA-HELVETIA TIMUR-II
798;MEDAN HELVETIA;HELVETIA TIMUR;III;MEDAN HELVETIA-HELVETIA TIMUR-III
799;MEDAN HELVETIA;HELVETIA TIMUR;IV;MEDAN HELVETIA-HELVETIA TIMUR-IV
800;MEDAN HELVETIA;HELVETIA TIMUR;V;MEDAN HELVETIA-HELVETIA TIMUR-V
801;MEDAN HELVETIA;HELVETIA TIMUR;VI;MEDAN HELVETIA-HELVETIA TIMUR-VI
802;MEDAN HELVETIA;HELVETIA TIMUR;VII;MEDAN HELVETIA-HELVETIA TIMUR-VII
803;MEDAN HELVETIA;HELVETIA TIMUR;VIII;MEDAN HELVETIA-HELVETIA TIMUR-VIII
804;MEDAN HELVETIA;HELVETIA TIMUR;IX;MEDAN HELVETIA-HELVETIA TIMUR-IX
805;MEDAN HELVETIA;HELVETIA TIMUR;X;MEDAN HELVETIA-HELVETIA TIMUR-X
806;MEDAN HELVETIA;HELVETIA TIMUR;XI;MEDAN HELVETIA-HELVETIA TIMUR-XI
807;MEDAN HELVETIA;HELVETIA TIMUR;XII;MEDAN HELVETIA-HELVETIA TIMUR-XII
808;MEDAN HELVETIA;HELVETIA TIMUR;XIII;MEDAN HELVETIA-HELVETIA TIMUR-XIII
809;MEDAN HELVETIA;SEI SIKAMBING CII;I;MEDAN HELVETIA-SEI SIKAMBING CII-I
810;MEDAN HELVETIA;SEI SIKAMBING CII;II;MEDAN HELVETIA-SEI SIKAMBING CII-II
811;MEDAN HELVETIA;SEI SIKAMBING CII;III;MEDAN HELVETIA-SEI SIKAMBING CII-III
812;MEDAN HELVETIA;SEI SIKAMBING CII;IV;MEDAN HELVETIA-SEI SIKAMBING CII-IV
813;MEDAN HELVETIA;SEI SIKAMBING CII;V;MEDAN HELVETIA-SEI SIKAMBING CII-V
814;MEDAN HELVETIA;SEI SIKAMBING CII;VI;MEDAN HELVETIA-SEI SIKAMBING CII-VI
815;MEDAN HELVETIA;SEI SIKAMBING CII;VII;MEDAN HELVETIA-SEI SIKAMBING CII-VII
816;MEDAN HELVETIA;SEI SIKAMBING CII;VIII;MEDAN HELVETIA-SEI SIKAMBING CII-VIII
817;MEDAN HELVETIA;SEI SIKAMBING CII;IX;MEDAN HELVETIA-SEI SIKAMBING CII-IX
818;MEDAN HELVETIA;SEI SIKAMBING CII;X;MEDAN HELVETIA-SEI SIKAMBING CII-X
819;MEDAN HELVETIA;SEI SIKAMBING CII;XI;MEDAN HELVETIA-SEI SIKAMBING CII-XI
820;MEDAN HELVETIA;SEI SIKAMBING CII;XII;MEDAN HELVETIA-SEI SIKAMBING CII-XII
821;MEDAN HELVETIA;SEI SIKAMBING CII;XIII;MEDAN HELVETIA-SEI SIKAMBING CII-XIII
822;MEDAN HELVETIA;SEI SIKAMBING CII;XIV;MEDAN HELVETIA-SEI SIKAMBING CII-XIV
823;MEDAN HELVETIA;TANJUNG GUSTA;I;MEDAN HELVETIA-TANJUNG GUSTA-I
824;MEDAN HELVETIA;TANJUNG GUSTA;II;MEDAN HELVETIA-TANJUNG GUSTA-II
825;MEDAN HELVETIA;TANJUNG GUSTA;III;MEDAN HELVETIA-TANJUNG GUSTA-III
826;MEDAN HELVETIA;TANJUNG GUSTA;IV;MEDAN HELVETIA-TANJUNG GUSTA-IV
827;MEDAN HELVETIA;TANJUNG GUSTA;V;MEDAN HELVETIA-TANJUNG GUSTA-V
828;MEDAN HELVETIA;TANJUNG GUSTA;VI;MEDAN HELVETIA-TANJUNG GUSTA-VI
829;MEDAN HELVETIA;TANJUNG GUSTA;VII;MEDAN HELVETIA-TANJUNG GUSTA-VII
830;MEDAN JOHOR;GEDUNG JOHOR;I;MEDAN JOHOR-GEDUNG JOHOR-I
831;MEDAN JOHOR;GEDUNG JOHOR;II;MEDAN JOHOR-GEDUNG JOHOR-II
832;MEDAN JOHOR;GEDUNG JOHOR;III;MEDAN JOHOR-GEDUNG JOHOR-III
833;MEDAN JOHOR;GEDUNG JOHOR;IV;MEDAN JOHOR-GEDUNG JOHOR-IV
834;MEDAN JOHOR;GEDUNG JOHOR;V;MEDAN JOHOR-GEDUNG JOHOR-V
835;MEDAN JOHOR;GEDUNG JOHOR;VI;MEDAN JOHOR-GEDUNG JOHOR-VI
836;MEDAN JOHOR;GEDUNG JOHOR;VII;MEDAN JOHOR-GEDUNG JOHOR-VII
837;MEDAN JOHOR;GEDUNG JOHOR;VIII;MEDAN JOHOR-GEDUNG JOHOR-VIII
838;MEDAN JOHOR;GEDUNG JOHOR;IX;MEDAN JOHOR-GEDUNG JOHOR-IX
839;MEDAN JOHOR;GEDUNG JOHOR;X;MEDAN JOHOR-GEDUNG JOHOR-X
840;MEDAN JOHOR;GEDUNG JOHOR;XI;MEDAN JOHOR-GEDUNG JOHOR-XI
841;MEDAN JOHOR;GEDUNG JOHOR;XII;MEDAN JOHOR-GEDUNG JOHOR-XII
842;MEDAN JOHOR;GEDUNG JOHOR;XIII;MEDAN JOHOR-GEDUNG JOHOR-XIII
843;MEDAN JOHOR;KEDAI DURIAN;I;MEDAN JOHOR-KEDAI DURIAN-I
844;MEDAN JOHOR;KEDAI DURIAN;II;MEDAN JOHOR-KEDAI DURIAN-II
845;MEDAN JOHOR;KEDAI DURIAN;III;MEDAN JOHOR-KEDAI DURIAN-III
846;MEDAN JOHOR;KEDAI DURIAN;IV;MEDAN JOHOR-KEDAI DURIAN-IV
847;MEDAN JOHOR;KEDAI DURIAN;V;MEDAN JOHOR-KEDAI DURIAN-V
848;MEDAN JOHOR;KWALA BEKALA;I;MEDAN JOHOR-KWALA BEKALA-I
849;MEDAN JOHOR;KWALA BEKALA;II;MEDAN JOHOR-KWALA BEKALA-II
850;MEDAN JOHOR;KWALA BEKALA;III;MEDAN JOHOR-KWALA BEKALA-III
851;MEDAN JOHOR;KWALA BEKALA;IV;MEDAN JOHOR-KWALA BEKALA-IV
852;MEDAN JOHOR;KWALA BEKALA;V;MEDAN JOHOR-KWALA BEKALA-V
853;MEDAN JOHOR;KWALA BEKALA;VI;MEDAN JOHOR-KWALA BEKALA-VI
854;MEDAN JOHOR;KWALA BEKALA;VII;MEDAN JOHOR-KWALA BEKALA-VII
855;MEDAN JOHOR;KWALA BEKALA;VIII;MEDAN JOHOR-KWALA BEKALA-VIII
856;MEDAN JOHOR;KWALA BEKALA;IX;MEDAN JOHOR-KWALA BEKALA-IX
857;MEDAN JOHOR;KWALA BEKALA;X;MEDAN JOHOR-KWALA BEKALA-X
858;MEDAN JOHOR;KWALA BEKALA;XI;MEDAN JOHOR-KWALA BEKALA-XI
859;MEDAN JOHOR;KWALA BEKALA;XII;MEDAN JOHOR-KWALA BEKALA-XII
860;MEDAN JOHOR;KWALA BEKALA;XIII;MEDAN JOHOR-KWALA BEKALA-XIII
861;MEDAN JOHOR;KWALA BEKALA;XIV;MEDAN JOHOR-KWALA BEKALA-XIV
862;MEDAN JOHOR;KWALA BEKALA;XV;MEDAN JOHOR-KWALA BEKALA-XV
863;MEDAN JOHOR;KWALA BEKALA;XVI;MEDAN JOHOR-KWALA BEKALA-XVI
864;MEDAN JOHOR;KWALA BEKALA;XVII;MEDAN JOHOR-KWALA BEKALA-XVII
865;MEDAN JOHOR;KWALA BEKALA;XVIII;MEDAN JOHOR-KWALA BEKALA-XVIII
866;MEDAN JOHOR;KWALA BEKALA;XIX;MEDAN JOHOR-KWALA BEKALA-XIX
867;MEDAN JOHOR;KWALA BEKALA;XX;MEDAN JOHOR-KWALA BEKALA-XX
868;MEDAN JOHOR;PANGKALAN MASYHUR;I;MEDAN JOHOR-PANGKALAN MASYHUR-I
869;MEDAN JOHOR;PANGKALAN MASYHUR;II;MEDAN JOHOR-PANGKALAN MASYHUR-II
870;MEDAN JOHOR;PANGKALAN MASYHUR;III;MEDAN JOHOR-PANGKALAN MASYHUR-III
871;MEDAN JOHOR;PANGKALAN MASYHUR;IV;MEDAN JOHOR-PANGKALAN MASYHUR-IV
872;MEDAN JOHOR;PANGKALAN MASYHUR;V;MEDAN JOHOR-PANGKALAN MASYHUR-V
873;MEDAN JOHOR;PANGKALAN MASYHUR;VI;MEDAN JOHOR-PANGKALAN MASYHUR-VI
874;MEDAN JOHOR;PANGKALAN MASYHUR;VII;MEDAN JOHOR-PANGKALAN MASYHUR-VII
875;MEDAN JOHOR;PANGKALAN MASYHUR;VIII;MEDAN JOHOR-PANGKALAN MASYHUR-VIII
876;MEDAN JOHOR;PANGKALAN MASYHUR;IX;MEDAN JOHOR-PANGKALAN MASYHUR-IX
877;MEDAN JOHOR;PANGKALAN MASYHUR;X;MEDAN JOHOR-PANGKALAN MASYHUR-X
878;MEDAN JOHOR;PANGKALAN MASYHUR;XI;MEDAN JOHOR-PANGKALAN MASYHUR-XI
879;MEDAN JOHOR;PANGKALAN MASYHUR;XII;MEDAN JOHOR-PANGKALAN MASYHUR-XII
880;MEDAN JOHOR;PANGKALAN MASYHUR;XIII;MEDAN JOHOR-PANGKALAN MASYHUR-XIII
881;MEDAN JOHOR;PANGKALAN MASYHUR;XIV;MEDAN JOHOR-PANGKALAN MASYHUR-XIV
882;MEDAN JOHOR;PANGKALAN MASYHUR;XV;MEDAN JOHOR-PANGKALAN MASYHUR-XV
883;MEDAN JOHOR;SUKA MAJU;I;MEDAN JOHOR-SUKA MAJU-I
884;MEDAN JOHOR;SUKA MAJU;II;MEDAN JOHOR-SUKA MAJU-II
885;MEDAN JOHOR;SUKA MAJU;III;MEDAN JOHOR-SUKA MAJU-III
886;MEDAN JOHOR;SUKA MAJU;IV;MEDAN JOHOR-SUKA MAJU-IV
887;MEDAN JOHOR;SUKA MAJU;V;MEDAN JOHOR-SUKA MAJU-V
888;MEDAN JOHOR;SUKA MAJU;VI;MEDAN JOHOR-SUKA MAJU-VI
889;MEDAN JOHOR;SUKA MAJU;VII;MEDAN JOHOR-SUKA MAJU-VII
890;MEDAN JOHOR;SUKA MAJU;VIII;MEDAN JOHOR-SUKA MAJU-VIII
891;MEDAN JOHOR;SUKA MAJU;IX;MEDAN JOHOR-SUKA MAJU-IX
892;MEDAN JOHOR;SUKA MAJU;X;MEDAN JOHOR-SUKA MAJU-X
893;MEDAN JOHOR;SUKA MAJU;XI;MEDAN JOHOR-SUKA MAJU-XI
894;MEDAN JOHOR;SUKA MAJU;XII;MEDAN JOHOR-SUKA MAJU-XII
895;MEDAN JOHOR;SUKA MAJU;XIII;MEDAN JOHOR-SUKA MAJU-XIII
896;MEDAN JOHOR;TITI KUNING;I;MEDAN JOHOR-TITI KUNING-I
897;MEDAN JOHOR;TITI KUNING;II;MEDAN JOHOR-TITI KUNING-II
898;MEDAN JOHOR;TITI KUNING;III;MEDAN JOHOR-TITI KUNING-III
899;MEDAN JOHOR;TITI KUNING;IV;MEDAN JOHOR-TITI KUNING-IV
900;MEDAN JOHOR;TITI KUNING;V;MEDAN JOHOR-TITI KUNING-V
901;MEDAN JOHOR;TITI KUNING;VI;MEDAN JOHOR-TITI KUNING-VI
902;MEDAN JOHOR;TITI KUNING;VII;MEDAN JOHOR-TITI KUNING-VII
903;MEDAN JOHOR;TITI KUNING;VIII;MEDAN JOHOR-TITI KUNING-VIII
904;MEDAN JOHOR;TITI KUNING;IX;MEDAN JOHOR-TITI KUNING-IX
905;MEDAN JOHOR;TITI KUNING;X;MEDAN JOHOR-TITI KUNING-X
906;MEDAN JOHOR;TITI KUNING;XI;MEDAN JOHOR-TITI KUNING-XI
907;MEDAN JOHOR;TITI KUNING;XII;MEDAN JOHOR-TITI KUNING-XII
908;MEDAN JOHOR;TITI KUNING;XIII;MEDAN JOHOR-TITI KUNING-XIII
909;MEDAN JOHOR;TITI KUNING;XIV;MEDAN JOHOR-TITI KUNING-XIV
910;MEDAN JOHOR;TITI KUNING;XV;MEDAN JOHOR-TITI KUNING-XV
911;MEDAN KOTA;SITIREJO I;I;MEDAN KOTA-SITIREJO I-I
912;MEDAN KOTA;SITIREJO I;II;MEDAN KOTA-SITIREJO I-II
913;MEDAN KOTA;SITIREJO I;III;MEDAN KOTA-SITIREJO I-III
914;MEDAN KOTA;SITIREJO I;IV;MEDAN KOTA-SITIREJO I-IV
915;MEDAN KOTA;SITIREJO I;V;MEDAN KOTA-SITIREJO I-V
